n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
10000,7,6,7,6,7,6,6,7,8,6,6,7,7,5,6,7,6,6,7,9,7,6,6,8,7,6,6,7,7,6,6,7,7,6,6,7,7,6,8,6,8,7,6,7,8,6,6,7,6,6
20000,7,8,7,6,6,7,8,7,6,7,7,7,7,7,7,7,6,8,7,6,7,7,6,7,7,7,7,7,7,7,8,7,6,7,7,7,6,9,7,6,7,6,6,7,6,7,7,7,7,7
30000,7,7,7,7,6,7,7,8,6,8,7,7,8,6,7,7,8,7,7,8,8,7,7,8,8,7,7,6,7,7,7,7,8,7,7,6,8,7,7,7,7,8,7,7,9,7,7,6,8,7
40000,7,8,7,8,8,8,6,8,7,7,7,7,7,8,8,8,7,7,9,8,8,7,7,7,9,7,8,8,6,7,6,8,7,7,7,7,7,8,7,6,7,8,7,7,8,7,7,7,7,7
50000,8,8,7,7,7,7,8,8,9,7,7,7,8,7,7,7,8,7,7,8,7,7,7,7,7,9,7,7,7,7,7,7,7,8,8,7,8,7,8,7,7,6,7,7,9,10,7,7,7,9
60000,8,8,8,7,7,8,9,8,8,7,7,8,8,8,8,9,8,7,7,7,7,8,8,8,7,8,7,8,8,7,7,7,7,7,7,7,7,7,8,8,8,9,7,8,8,7,7,7,8,7
70000,7,7,7,8,7,7,8,8,7,9,9,7,8,8,7,8,8,7,7,7,7,7,8,7,8,8,7,7,7,7,7,8,7,8,7,7,9,8,8,7,8,8,7,7,9,8,8,8,7,7
80000,7,7,8,8,9,8,7,7,8,7,9,7,8,9,7,7,8,7,8,7,7,7,8,7,8,7,8,7,8,8,8,7,7,8,9,7,8,8,8,7,9,8,7,7,7,7,8,8,8,8
90000,7,8,7,8,8,9,8,7,8,8,7,7,7,7,8,7,7,8,7,8,8,8,7,7,8,10,8,8,9,9,8,9,7,8,8,7,7,8,8,7,8,8,8,8,7,8,8,8,8,8
100000,8,8,7,8,7,7,7,7,7,8,8,7,7,7,8,8,8,8,8,8,8,8,9,8,9,7,7,8,8,7,8,7,8,8,8,7,9,7,8,7,8,9,8,8,7,7,8,7,8,8
110000,8,8,8,8,8,7,8,9,8,8,7,9,8,7,8,8,8,8,8,8,7,8,8,8,8,8,8,8,9,7,7,8,8,8,7,7,8,8,8,7,7,7,8,8,8,7,8,8,8,8
120000,8,9,8,8,8,8,8,8,7,8,10,8,7,9,8,7,9,8,7,8,8,8,8,8,8,8,8,8,8,7,8,8,7,8,8,8,8,7,8,7,8,7,8,8,8,8,8,9,9,9
130000,7,8,8,8,9,8,9,8,7,8,8,8,8,8,8,7,9,7,7,8,8,9,8,8,7,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,9,8,9,8,7,8,7,7,8
140000,8,9,9,8,9,8,7,7,9,8,8,8,7,8,8,8,8,8,8,9,8,7,8,8,8,8,7,7,9,8,8,8,8,7,8,7,8,8,8,8,7,9,9,7,8,7,8,8,8,8
150000,7,9,8,8,10,8,7,8,8,8,7,7,8,9,8,9,8,8,8,7,8,8,7,8,8,8,8,8,8,7,7,7,8,8,9,8,8,7,8,9,8,7,9,7,8,8,9,7,8,8
160000,8,8,9,8,7,8,8,8,9,9,9,8,8,8,7,8,8,8,9,8,7,8,8,7,8,7,8,8,8,8,7,8,9,7,8,8,8,8,8,9,8,8,9,7,9,8,8,9,7,7
170000,8,7,8,8,8,9,8,8,8,8,8,8,8,8,7,8,8,7,8,8,8,7,8,8,8,8,8,8,8,9,8,8,7,8,8,8,7,8,7,8,8,8,8,8,8,8,8,8,8,7
180000,7,8,7,8,8,8,8,8,8,8,8,8,8,8,7,7,8,9,8,8,8,9,8,8,10,8,8,8,8,8,8,8,8,8,8,8,7,8,9,8,8,9,8,9,8,9,8,8,9,8
190000,8,8,8,9,8,8,7,8,8,9,8,8,9,8,8,8,7,8,8,9,8,8,7,8,8,7,8,7,8,8,8,8,8,7,7,7,8,9,8,8,7,8,8,8,9,8,8,7,8,9
200000,8,8,8,9,9,8,9,9,7,8,8,8,8,8,9,8,8,8,8,8,8,8,9,9,9,9,7,7,8,8,9,9,8,12,8,8,7,8,8,8,9,8,8,9,8,9,8,9,9,8
210000,8,8,8,8,9,8,8,8,8,8,8,8,8,7,7,8,8,8,8,9,8,8,8,8,8,8,9,8,8,9,8,7,8,8,7,8,8,8,8,8,8,9,8,8,8,8,8,9,8,8
220000,8,8,9,9,8,8,8,8,8,7,8,8,8,9,7,8,8,8,9,9,8,8,8,7,7,8,8,8,8,8,8,7,7,8,7,8,8,8,8,8,8,8,8,9,7,7,8,8,8,8
230000,8,8,8,8,8,9,8,9,8,8,8,8,8,8,8,7,8,8,9,8,8,7,8,8,8,8,9,8,8,8,8,10,7,8,9,8,8,8,8,8,7,8,8,9,8,8,8,9,9,8
240000,8,8,9,8,9,8,8,9,8,8,8,9,8,9,8,8,11,8,8,8,8,8,9,9,8,8,8,8,8,8,9,9,9,9,10,8,8,8,8,8,8,7,8,9,8,8,8,8,9,8
250000,8,8,8,9,8,8,10,8,9,8,7,8,7,9,8,7,8,8,8,7,7,8,8,9,8,8,8,8,9,9,9,8,8,8,9,8,8,8,7,8,8,9,8,9,8,8,8,7,8,8
260000,8,8,8,8,8,8,8,8,8,9,8,8,8,7,8,8,8,8,9,8,7,7,8,8,9,8,8,8,8,8,8,9,8,8,7,9,8,10,7,8,8,8,8,8,8,9,9,8,8,8
270000,9,10,8,9,8,9,8,9,8,8,9,8,9,9,8,8,8,8,9,8,9,8,8,9,9,8,8,8,9,8,10,8,9,8,8,8,8,8,8,8,8,8,10,9,8,8,9,8,9,8
280000,7,8,10,8,9,9,8,8,8,8,8,8,8,8,8,9,8,8,9,8,8,8,9,9,8,7,8,8,8,9,8,8,8,8,9,10,7,7,8,8,8,8,8,8,8,8,8,8,8,8
290000,8,9,8,9,8,9,8,8,8,8,7,8,9,8,9,9,10,8,8,8,8,7,8,9,9,8,9,8,8,8,10,9,8,8,8,9,8,9,9,10,10,8,11,8,8,7,10,8,8,9
300000,7,8,9,8,9,8,8,8,8,8,8,9,8,9,9,8,8,8,8,8,9,8,10,9,8,9,8,9,10,8,8,8,8,8,8,8,9,8,8,7,8,8,8,8,9,9,9,9,8,8
310000,8,8,8,9,8,8,9,8,8,8,9,9,9,8,9,8,9,9,8,8,8,8,8,8,9,9,9,9,8,8,9,8,8,8,8,8,8,9,8,8,9,9,9,8,9,8,8,8,8,8
320000,7,8,8,8,9,9,8,7,8,8,8,8,8,10,8,9,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,9,8,8,8,8,10,8,8,11,8,8,9,10,8,8,8,8,9,8
330000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,9,7,8,8,10,8,8,8,8,9,8,9,8,8,8,8,8,10,8,8,8,7,7,9,8,8,9,8,9,8
340000,8,9,8,8,8,9,8,9,9,9,7,8,9,8,8,8,8,9,8,9,9,8,9,8,8,8,10,8,9,8,7,9,8,9,8,9,8,8,9,8,8,8,8,9,8,9,8,8,9,10
350000,9,9,7,9,8,8,10,8,7,9,9,8,9,8,9,9,8,9,8,8,10,8,7,8,8,9,8,8,8,9,9,11,8,9,9,8,10,8,8,9,9,9,9,9,8,9,8,8,9,8
360000,7,8,8,8,9,8,9,9,8,8,9,8,9,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,8,9,8,10,9,8,8,8,8,8,8,11,8,8,9,8,10,9,8,8,8,8
370000,8,8,8,9,8,9,9,9,8,9,9,8,8,9,8,8,9,8,8,8,8,8,9,8,8,8,8,9,8,8,9,8,11,9,9,8,8,8,8,8,9,9,8,8,9,8,8,9,9,8
380000,9,9,8,8,9,8,10,10,8,8,8,8,9,8,8,9,8,8,9,9,8,8,8,9,9,8,9,8,9,8,8,8,9,8,8,8,8,8,8,9,8,9,9,8,8,8,9,9,9,8
390000,8,9,8,8,8,8,8,8,8,9,8,9,8,9,8,8,8,9,8,8,8,8,8,7,8,8,9,9,8,8,8,9,8,9,8,11,8,8,7,8,8,8,8,9,9,9,8,8,8,8
400000,8,9,9,8,8,10,8,9,8,9,8,8,9,8,8,8,8,9,8,8,9,8,8,8,9,9,8,10,8,8,8,8,8,9,8,8,8,8,9,9,8,9,8,8,8,8,9,8,8,8
410000,8,8,8,8,8,9,8,8,9,8,9,9,8,9,8,9,9,8,8,9,9,8,8,9,8,8,9,9,9,9,8,8,8,8,10,8,8,8,8,8,8,8,8,8,8,9,9,9,8,8
420000,8,9,8,9,8,9,8,9,8,7,9,9,10,9,8,8,8,9,8,9,8,8,8,9,9,8,8,8,9,9,8,8,9,8,8,10,8,9,8,8,10,9,8,8,9,9,9,9,8,9
430000,9,10,8,8,8,8,8,8,8,10,9,9,8,9,8,9,8,8,8,8,9,8,9,8,8,10,8,8,8,9,8,8,9,9,11,8,8,8,8,9,9,8,9,8,8,9,9,9,8,8
440000,9,10,9,9,8,8,8,8,9,8,10,8,9,8,8,8,8,8,9,8,9,8,9,9,9,8,9,9,8,8,9,9,9,8,8,8,8,8,8,9,10,8,8,8,8,10,8,9,8,10
450000,9,9,9,8,9,8,9,8,9,8,8,9,9,9,8,9,9,8,8,9,8,8,8,8,9,9,8,9,8,9,9,9,9,8,8,9,11,8,9,8,9,9,8,9,8,9,9,8,8,8
460000,8,9,8,7,8,9,9,8,8,8,9,8,9,8,8,8,8,8,9,8,8,9,8,8,9,8,8,8,8,9,9,8,8,9,8,8,8,9,9,8,9,8,9,8,8,8,8,9,8,8
470000,9,9,8,9,8,8,9,10,8,9,8,8,10,9,8,8,9,8,9,8,8,9,8,8,8,8,8,8,7,8,9,9,8,8,8,8,8,8,8,8,8,8,8,9,8,9,8,9,8,8
480000,8,8,9,8,8,8,8,8,9,8,8,8,8,9,8,9,8,9,8,9,7,9,8,8,8,8,10,9,8,8,8,9,8,8,8,9,9,9,8,10,8,8,8,9,8,8,9,8,9,9
490000,8,10,8,8,8,8,8,9,9,9,9,8,9,9,10,9,8,9,8,8,8,9,8,10,9,8,9,8,9,8,9,8,9,9,9,9,10,9,8,8,8,8,9,8,8,9,9,9,8,9
500000,8,8,8,10,8,9,8,8,9,8,8,9,9,10,9,9,9,9,8,8,8,8,8,8,8,10,8,8,8,8,9,9,10,9,8,8,8,8,8,8,8,8,8,9,9,9,8,8,10,9
510000,9,8,9,9,8,8,9,8,9,9,9,10,9,8,10,9,10,8,9,9,8,8,11,8,9,9,9,9,8,8,8,9,9,8,8,9,10,8,9,8,8,9,9,9,9,8,9,8,9,8
520000,9,10,9,9,8,8,8,8,8,9,8,8,9,9,9,9,8,8,9,9,9,8,9,9,8,8,8,8,8,8,8,8,8,8,8,8,9,8,9,9,8,10,9,8,8,8,8,8,8,9
530000,8,9,8,8,9,9,9,8,8,8,8,7,8,8,8,8,8,9,9,10,9,8,8,8,9,8,8,8,8,8,8,9,9,8,9,9,8,8,8,8,8,9,9,9,9,8,9,10,8,8
540000,9,8,8,8,8,9,9,8,8,10,9,8,8,8,8,8,8,9,9,9,9,8,9,10,8,9,9,8,8,9,9,9,9,9,9,8,8,8,9,8,8,9,8,9,9,9,9,9,9,9
550000,8,8,9,9,8,9,8,9,8,9,9,8,10,8,8,9,9,9,8,8,8,9,8,8,8,8,9,8,8,8,9,9,8,9,9,8,9,9,9,8,9,8,8,10,9,9,9,8,9,8
560000,9,8,8,8,9,8,8,8,8,8,9,9,8,10,9,8,9,8,8,8,9,8,8,8,9,9,9,9,9,8,9,8,8,8,8,10,9,8,10,8,8,8,8,10,8,9,9,10,8,9
570000,9,8,8,8,8,9,8,8,8,8,9,8,9,8,9,8,8,9,8,8,8,8,8,8,8,8,8,9,8,9,8,9,8,8,9,8,9,8,8,8,10,9,9,9,9,9,9,10,9,8
580000,8,9,8,8,8,8,9,8,8,8,9,8,8,10,9,8,9,9,10,8,9,9,8,8,8,10,9,9,9,8,9,9,8,9,8,10,8,10,9,8,9,8,9,9,9,9,9,8,9,8
590000,8,9,8,8,8,9,9,8,11,8,9,9,9,8,10,9,9,9,9,9,9,8,9,8,8,8,9,9,8,8,8,9,8,9,8,9,9,10,9,8,9,8,9,8,9,9,9,9,9,9
600000,9,7,9,10,8,9,8,8,9,10,9,9,9,8,9,9,9,9,9,9,8,9,8,9,9,8,9,8,8,8,9,9,9,8,8,8,8,8,8,8,8,9,9,9,9,8,9,9,9,8
610000,8,9,9,9,8,9,8,10,9,8,8,8,8,8,8,8,8,8,8,8,9,9,9,8,9,9,9,10,9,8,9,8,8,9,9,8,9,9,10,9,9,8,8,9,9,9,9,10,9,9
620000,8,9,8,9,8,8,8,9,10,9,8,8,8,8,9,9,8,9,8,9,9,9,9,9,8,9,10,9,9,9,8,9,8,10,8,8,8,8,9,9,9,8,8,8,8,8,9,9,8,8
630000,8,9,8,9,9,9,8,8,10,9,8,8,8,9,9,10,9,8,8,9,8,10,10,8,8,9,8,8,8,8,8,8,8,8,9,8,9,11,9,9,8,8,9,8,8,9,8,9,9,9
640000,8,9,8,8,8,9,8,8,8,8,8,9,8,9,9,8,8,9,8,8,8,9,9,8,9,8,9,9,9,8,8,8,8,9,9,8,8,8,9,8,8,9,8,9,9,9,9,8,8,8
650000,9,9,9,9,9,9,9,9,8,10,9,8,9,8,8,9,8,9,9,8,8,9,8,8,10,9,8,8,8,8,9,9,9,8,9,8,8,9,9,8,8,8,9,8,8,8,8,8,8,8
660000,10,10,10,8,9,10,9,9,9,8,9,9,9,8,9,9,9,9,9,8,9,8,8,8,8,9,9,9,9,8,8,9,9,8,8,9,9,8,9,8,8,9,9,9,9,9,8,9,8,8
670000,9,9,9,8,9,11,8,9,9,8,9,9,8,9,8,8,8,8,9,9,8,8,8,8,8,9,9,9,9,9,9,10,8,8,9,9,9,9,9,9,9,9,9,10,8,8,8,9,9,9
680000,8,10,9,10,8,8,9,9,8,8,10,8,8,9,8,9,9,9,9,9,9,9,9,9,10,9,10,8,9,9,9,8,9,11,9,8,8,8,9,9,8,8,9,8,8,9,9,9,10,9
690000,9,9,9,8,8,8,8,8,9,9,8,8,8,9,8,8,8,8,9,8,9,8,8,9,9,8,9,8,8,9,9,9,9,8,9,8,8,9,8,11,9,10,9,8,8,8,10,9,9,9
700000,8,10,8,8,9,9,8,9,10,9,8,8,9,9,8,8,8,9,8,9,9,8,8,9,9,8,9,8,8,9,8,8,8,8,9,9,8,9,8,9,9,9,9,9,9,9,8,8,9,10
710000,8,8,8,8,10,8,9,8,10,8,8,8,8,8,9,10,9,8,9,8,11,8,8,9,9,9,9,9,8,8,10,9,8,8,8,8,8,9,9,9,8,8,8,9,9,9,9,9,9,9
720000,8,8,8,8,8,9,8,9,9,8,10,9,8,9,9,9,8,9,8,8,8,8,9,9,8,8,9,8,10,8,8,9,8,9,9,9,8,8,9,10,9,8,8,9,9,9,8,9,9,8
730000,10,10,9,9,9,9,9,8,9,8,9,9,10,9,8,9,8,9,10,8,8,9,9,9,9,8,10,8,9,9,9,8,8,8,9,10,8,9,9,9,9,8,11,8,8,8,8,8,9,9
740000,9,8,8,8,9,9,9,9,9,10,8,8,8,8,8,8,8,8,9,9,8,9,8,8,8,9,9,8,8,8,8,9,9,9,8,8,8,9,9,9,10,8,9,9,9,9,8,9,8,10
750000,8,8,8,9,8,8,8,9,9,9,9,8,9,8,8,8,9,9,8,9,9,8,8,8,9,8,9,8,8,9,9,9,8,8,10,8,9,10,9,9,8,9,9,9,9,10,9,9,8,10
760000,8,9,9,9,9,8,10,9,8,9,9,9,8,8,8,9,9,9,8,9,9,9,9,9,8,9,9,10,8,9,10,8,9,8,8,8,9,9,9,9,9,8,8,8,10,9,8,9,8,8
770000,8,9,8,8,10,10,9,9,9,9,10,8,8,9,9,9,9,8,8,8,8,9,10,9,8,9,9,8,9,9,8,10,9,8,10,8,8,9,9,9,8,9,8,9,9,8,9,8,9,9
780000,8,9,8,8,8,8,9,9,8,9,9,9,9,9,9,9,9,8,9,9,9,9,9,10,8,8,8,8,8,8,8,8,8,8,9,8,8,8,10,8,9,9,8,9,9,9,9,8,9,8
790000,8,9,8,8,8,9,8,8,8,8,9,9,8,9,9,9,8,9,8,9,10,9,9,9,9,9,9,9,10,8,9,9,8,8,9,9,9,10,9,9,8,8,8,9,9,9,8,8,8,9
800000,10,9,9,9,8,9,9,9,9,9,9,8,8,9,8,9,9,8,9,8,10,9,8,9,9,9,9,10,9,8,9,9,8,9,8,10,8,9,9,10,8,8,8,9,8,10,10,8,9,8
810000,9,9,8,9,8,8,9,8,9,9,8,9,8,8,9,8,9,8,9,10,8,9,8,9,9,9,9,9,9,8,9,8,8,9,9,8,8,10,9,8,8,8,8,9,9,8,9,9,8,9
820000,9,9,9,9,9,8,9,8,10,8,9,9,8,8,9,9,8,9,9,9,8,8,9,8,8,9,8,10,8,9,10,8,10,8,9,9,10,9,8,8,9,9,9,9,9,9,9,9,9,9
830000,9,8,8,9,9,10,9,8,9,9,10,8,9,9,8,9,8,8,8,9,8,8,9,10,8,8,9,8,9,10,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,8,8,8,9,10
840000,8,9,9,9,8,8,9,9,8,9,8,8,9,9,9,9,8,9,10,8,8,8,9,8,9,9,11,8,8,9,9,9,8,9,9,9,8,8,8,8,8,8,9,8,9,8,9,9,9,10
850000,8,9,9,10,9,8,8,9,10,9,9,9,10,8,9,8,9,8,9,8,9,8,8,8,9,9,9,9,9,9,8,9,8,9,9,9,8,9,9,9,9,9,9,8,8,8,9,9,9,8
860000,9,9,8,8,8,8,9,10,9,8,9,9,9,8,10,10,9,8,9,9,9,8,9,8,8,8,8,8,9,8,8,8,10,9,9,8,8,8,8,8,8,9,8,9,8,9,8,8,8,9
870000,9,10,11,9,9,8,8,9,10,8,8,9,9,8,8,9,9,10,10,8,9,8,9,9,9,8,8,8,8,9,8,9,9,9,9,9,9,8,9,9,10,9,9,9,8,10,9,8,9,9
880000,9,8,8,9,9,9,11,9,9,9,8,9,9,9,9,9,9,10,8,9,9,8,9,8,9,8,9,8,8,8,9,9,9,8,8,8,8,8,8,9,9,9,9,9,10,9,8,8,10,9
890000,8,10,9,8,9,8,9,9,8,10,8,9,9,10,9,9,8,8,9,8,9,8,8,9,9,9,10,8,9,9,9,9,9,10,8,8,9,9,8,8,9,9,9,9,8,8,9,8,8,8
900000,8,9,8,10,9,9,9,9,9,9,9,8,9,9,8,9,9,9,9,9,9,8,9,9,9,10,8,8,9,8,9,9,9,9,9,9,9,10,9,9,9,8,9,10,9,9,9,9,9,9
910000,8,9,11,9,8,9,8,9,9,9,8,10,9,8,9,9,9,8,9,8,8,8,9,8,9,9,9,9,9,9,9,8,8,9,9,9,9,8,9,10,9,9,9,8,9,9,9,8,9,9
920000,8,8,9,8,9,10,9,9,8,8,8,9,9,8,9,8,9,8,9,10,10,10,9,9,9,9,9,11,10,9,9,8,11,9,9,8,9,9,9,10,8,9,9,8,9,9,9,9,9,9
930000,9,9,8,9,9,9,9,8,8,8,9,9,9,9,8,9,8,9,9,9,10,9,9,10,9,8,10,10,9,8,8,8,9,8,9,9,9,8,8,9,9,8,9,9,8,9,8,10,9,10
940000,9,9,10,8,9,9,9,8,9,10,9,9,9,8,8,10,8,9,8,9,8,10,9,8,8,9,9,9,9,8,8,9,9,8,9,10,9,9,8,10,8,9,9,9,9,9,8,9,8,8
950000,9,10,10,8,11,9,9,8,9,8,9,8,9,9,8,8,8,8,8,8,9,9,8,9,8,9,10,10,8,9,9,9,9,9,9,8,9,8,8,8,8,8,8,8,9,9,10,9,8,9
960000,9,10,10,9,9,8,9,8,9,9,8,10,10,8,8,8,8,10,8,9,8,8,9,9,10,8,9,9,10,8,9,9,10,9,8,9,9,8,8,10,8,9,8,9,9,9,9,8,8,9
970000,9,8,8,9,9,9,8,9,8,9,9,9,8,8,9,9,10,10,8,10,8,8,9,8,9,9,9,9,9,9,8,8,8,9,9,9,8,8,8,9,9,8,8,8,8,9,9,9,9,9
980000,9,8,9,8,9,8,8,8,9,9,8,8,9,9,8,10,9,9,8,8,8,8,8,10,9,9,9,9,8,8,9,9,9,9,8,9,8,9,9,8,9,9,9,9,9,9,9,9,9,8
990000,9,10,8,8,8,8,9,9,9,9,8,10,9,8,9,8,9,9,8,8,8,8,8,9,8,9,9,9,9,9,8,8,9,9,9,9,9,8,9,9,9,8,9,9,8,9,9,8,8,8
1000000,10,9,8,9,9,10,8,9,9,8,10,9,9,10,9,8,10,8,9,8,9,8,9,8,9,8,8,8,9,9,9,9,8,8,8,9,9,9,8,8,9,8,9,9,9,9,9,9,9,8
